index;symbol;A;Z;N;color;stable;alpha decay;beta minus decay;beta plus decay;first decay;second decay;decay text;file name
001;Ir;197;77;120;b;false;false;true;false;β-;;β-;001_Ir197_bm
002;Ir;198;77;121;b;false;false;true;false;β-;;β-;002_Ir198_bm
003;Pt;198;78;120;s;true;false;false;false;;;;003_Pt198_stable
004;Pt;199;78;121;b;false;false;true;false;β-;;β-;004_Pt199_bm
005;Pt;200;78;122;b;false;false;true;false;β-;;β-;005_Pt200_bm
006;Pt;201;78;123;b;false;false;true;false;β-;;β-;006_Pt201_bm
007;Au;199;79;120;b;false;false;true;false;β-;;β-;007_Au199_bm
008;Au;200;79;121;b;false;false;true;false;β-;;β-;008_Au200_bm
009;Au;201;79;122;b;false;false;true;false;β-;;β-;009_Au201_bm
010;Au;202;79;123;b;false;false;true;false;β-;;β-;010_Au202_bm
011;Au;203;79;124;b;false;false;true;false;β-;;β-;011_Au203_bm
012;Au;204;79;125;b;false;false;true;false;β-;;β-;012_Au204_bm
013;Hg;200;80;120;s;true;false;false;false;;;;013_Hg200_stable
014;Hg;201;80;121;s;true;false;false;false;;;;014_Hg201_stable
015;Hg;202;80;122;s;true;false;false;false;;;;015_Hg202_stable
016;Hg;203;80;123;b;false;false;true;false;β-;;β-;016_Hg203_bm
017;Hg;204;80;124;s;true;false;false;false;;;;017_Hg204_stable
018;Hg;205;80;125;b;false;false;true;false;β-;;β-;018_Hg205_bm
019;Hg;206;80;126;b;false;false;true;false;β-;;β-;019_Hg206_bm
020;Tl;201;81;120;o;false;false;false;true;β+;;β+;020_Tl201_bp
021;Tl;202;81;121;o;false;false;false;true;β+;;β+;021_Tl202_bp
022;Tl;203;81;122;s;true;false;false;false;;;;022_Tl203_stable
023;Tl;204;81;123;b;false;false;true;false;β-;;β-;023_Tl204_bm
024;Tl;205;81;124;s;true;false;false;false;;;;024_Tl205_stable
025;Tl;206;81;125;b;false;false;true;false;β-;;β-;025_Tl206_bm
026;Tl;207;81;126;b;false;false;true;false;β-;;β-;026_Tl207_bm
027;Tl;208;81;127;b;false;false;true;false;β-;;β-;027_Tl208_bm
028;Tl;209;81;128;b;false;false;true;false;β-;;β-;028_Tl209_bm
029;Tl;210;81;129;b;false;false;true;false;β-;;β-;029_Tl210_bm
030;Pb;202;82;120;o;false;false;false;true;β+;;β+;030_Pb202_bp
031;Pb;203;82;121;o;false;false;false;true;β+;;β+;031_Pb203_bp
032;Pb;204;82;122;g;false;true;false;false;α;;α;032_Pb204_a
033;Pb;205;82;123;o;false;false;false;true;β+;;β+;033_Pb205_bp
034;Pb;206;82;124;s;true;false;false;false;;;;034_Pb206_stable
035;Pb;207;82;125;s;true;false;false;false;;;;035_Pb207_stable
036;Pb;208;82;126;s;true;false;false;false;;;;036_Pb208_stable
037;Pb;209;82;127;b;false;false;true;false;β-;;β-;037_Pb209_bm
038;Pb;210;82;128;b;false;false;true;false;β-;;β-;038_Pb210_bm
039;Pb;211;82;129;b;false;false;true;false;β-;;β-;039_Pb211_bm
040;Pb;212;82;130;b;false;false;true;false;β-;;β-;040_Pb212_bm
041;Pb;213;82;131;b;false;false;true;false;β-;;β-;041_Pb213_bm
042;Pb;214;82;132;b;false;false;true;false;β-;;β-;042_Pb214_bm
043;Bi;203;83;120;o;false;false;false;true;β+;;β+;043_Bi203_bp
044;Bi;204;83;121;o;false;false;false;true;β+;;β+;044_Bi204_bp
045;Bi;205;83;122;o;false;false;false;true;β+;;β+;045_Bi205_bp
046;Bi;206;83;123;o;false;false;false;true;β+;;β+;046_Bi206_bp
047;Bi;207;83;124;o;false;false;false;true;β+;;β+;047_Bi207_bp
048;Bi;208;83;125;o;false;false;false;true;β+;;β+;048_Bi208_bp
049;Bi;209;83;126;g;false;true;false;false;α;;α;049_Bi209_a
050;Bi;210;83;127;b;false;false;true;false;β-;;β-;050_Bi210_bm
051;Bi;211;83;128;g;false;true;false;false;α;;α;051_Bi211_a
052;Bi;212;83;129;g+b;false;true;true;false;α;β-;α, β-;052_Bi212_a-bm
053;Bi;213;83;130;b;false;false;true;false;β-;;β-;053_Bi213_bm
054;Bi;214;83;131;b;false;false;true;false;β-;;β-;054_Bi214_bm
055;Bi;215;83;132;b;false;false;true;false;β-;;β-;055_Bi215_bm
056;Po;204;84;120;o;false;false;false;true;β+;;β+;056_Po204_bp
057;Po;205;84;121;o;false;false;false;true;β+;;β+;057_Po205_bp
058;Po;206;84;122;g+o;false;true;false;true;α;β+;α, β+;058_Po206_a-bp
059;Po;207;84;123;o;false;false;false;true;β+;;β+;059_Po207_bp
