index;symbol;A;Z;N;color;stable;alpha decay;beta minus decay;beta plus decay;first decay;second decay;decay text;file name
001;H;1;1;0;s;true;false;false;false;;;;001_H1_stable
002;H;2;1;1;s;true;false;false;false;;;;002_H2_stable
003;H;3;1;2;b;false;false;true;false;β-;;β-;003_H3_bm
004;He;3;2;1;s;true;false;false;false;;;;004_He3_stable
005;He;4;2;2;s;true;false;false;false;;;;005_He4_stable
006;Li;6;3;3;s;true;false;false;false;;;;006_Li6_stable
007;Li;7;3;4;s;true;false;false;false;;;;007_Li7_stable
008;Be;7;4;3;o;false;false;false;true;β+;;β+;008_Be7_bp
009;Be;9;4;5;s;true;false;false;false;;;;009_Be9_stable
010;Be;10;4;6;b;false;false;true;false;β-;;β-;010_Be10_bm
011;B;10;5;5;s;true;false;false;false;;;;011_B10_stable
012;B;11;5;6;s;true;false;false;false;;;;012_B11_stable
013;C;11;6;5;o;false;false;false;true;β+;;β+;013_C11_bp
014;C;12;6;6;s;true;false;false;false;;;;014_C12_stable
015;C;13;6;7;s;true;false;false;false;;;;015_C13_stable
016;C;14;6;8;b;false;false;true;false;β-;;β-;016_C14_bm
017;N;13;7;6;o;false;false;false;true;β+;;β+;017_N13_bp
018;N;14;7;7;s;true;false;false;false;;;;018_N14_stable
019;N;15;7;8;s;true;false;false;false;;;;019_N15_stable
020;N;16;7;9;b;false;false;true;false;β-;;β-;020_N16_bm
021;O;14;8;6;o;false;false;false;true;β+;;β+;021_O14_bp
022;O;15;8;7;o;false;false;false;true;β+;;β+;022_O15_bp
023;O;16;8;8;s;true;false;false;false;;;;023_O16_stable
024;O;17;8;9;s;true;false;false;false;;;;024_O17_stable
025;O;18;8;10;s;true;false;false;false;;;;025_O18_stable
026;O;19;8;11;b;false;false;true;false;β-;;β-;026_O19_bm
027;F;17;9;8;o;false;false;false;true;β+;;β+;027_F17_bp
028;F;18;9;9;o;false;false;false;true;β+;;β+;028_F18_bp
029;F;19;9;10;s;true;false;false;false;;;;029_F19_stable
030;Ne;19;10;9;o;false;false;false;true;β+;;β+;030_Ne19_bp
031;Ne;20;10;10;s;true;false;false;false;;;;031_Ne20_stable
032;Ne;21;10;11;s;true;false;false;false;;;;032_Ne21_stable
033;Ne;22;10;12;s;true;false;false;false;;;;033_Ne22_stable
034;Ne;24;10;14;b;false;false;true;false;β-;;β-;034_Ne24_bm
035;Na;22;11;11;o;false;false;false;true;β+;;β+;035_Na22_bp
036;Na;23;11;12;s;true;false;false;false;;;;036_Na23_stable
037;Na;24;11;13;b;false;false;true;false;β-;;β-;037_Na24_bm
038;Mg;24;12;12;s;true;false;false;false;;;;038_Mg24_stable
039;Mg;25;12;13;s;true;false;false;false;;;;039_Mg25_stable
040;Mg;26;12;14;s;true;false;false;false;;;;040_Mg26_stable
041;Mg;27;12;15;b;false;false;true;false;β-;;β-;041_Mg27_bm
042;Mg;28;12;16;b;false;false;true;false;β-;;β-;042_Mg28_bm
043;Al;26;13;13;o;false;false;false;true;β+;;β+;043_Al26_bp
044;Al;27;13;14;s;true;false;false;false;;;;044_Al27_stable
045;Al;28;13;15;b;false;false;true;false;β-;;β-;045_Al28_bm
046;Al;29;13;16;b;false;false;true;false;β-;;β-;046_Al29_bm
047;Si;28;14;14;s;true;false;false;false;;;;047_Si28_stable
048;Si;29;14;15;s;true;false;false;false;;;;048_Si29_stable
049;Si;30;14;16;s;true;false;false;false;;;;049_Si30_stable
050;Si;31;14;17;b;false;false;true;false;β-;;β-;050_Si31_bm
051;Si;32;14;18;b;false;false;true;false;β-;;β-;051_Si32_bm
052;P;30;15;15;o;false;false;false;true;β+;;β+;052_P30_bp
053;P;31;15;16;s;true;false;false;false;;;;053_P31_stable
054;P;32;15;17;b;false;false;true;false;β-;;β-;054_P32_bm
055;P;33;15;18;b;false;false;true;false;β-;;β-;055_P33_bm
056;S;32;16;16;s;true;false;false;false;;;;056_S32_stable
057;S;33;16;17;s;true;false;false;false;;;;057_S33_stable
058;S;34;16;18;s;true;false;false;false;;;;058_S34_stable
059;S;35;16;19;b;false;false;true;false;β-;;β-;059_S35_bm
060;S;36;16;20;s;true;false;false;false;;;;060_S36_stable
061;S;37;16;21;b;false;false;true;false;β-;;β-;061_S37_bm
062;S;38;16;22;b;false;false;true;false;β-;;β-;062_S38_bm
063;Cl;34;17;17;o;false;false;false;true;β+;;β+;063_Cl34_bp
064;Cl;35;17;18;s;true;false;false;false;;;;064_Cl35_stable
065;Cl;36;17;19;b+o;false;false;true;true;β-;β+;β-, β+;065_Cl36_bm-bp
066;Cl;37;17;20;s;true;false;false;false;;;;066_Cl37_stable
067;Cl;38;17;21;b;false;false;true;false;β-;;β-;067_Cl38_bm
068;Cl;39;17;22;b;false;false;true;false;β-;;β-;068_Cl39_bm
069;Cl;40;17;23;b;false;false;true;false;β-;;β-;069_Cl40_bm
070;Ar;36;18;18;s;true;false;false;false;;;;070_Ar36_stable
071;Ar;37;18;19;o;false;false;false;true;β+;;β+;071_Ar37_bp
072;Ar;38;18;20;s;true;false;false;false;;;;072_Ar38_stable
073;Ar;39;18;21;b;false;false;true;false;β-;;β-;073_Ar39_bm
074;Ar;40;18;22;s;true;false;false;false;;;;074_Ar40_stable
075;Ar;41;18;23;b;false;false;true;false;β-;;β-;075_Ar41_bm
076;Ar;42;18;24;b;false;false;true;false;β-;;β-;076_Ar42_bm
077;Ar;43;18;25;b;false;false;true;false;β-;;β-;077_Ar43_bm
078;Ar;44;18;26;b;false;false;true;false;β-;;β-;078_Ar44_bm
079;K;38;19;19;o;false;false;false;true;β+;;β+;079_K38_bp
080;K;39;19;20;s;true;false;false;false;;;;080_K39_stable
081;K;40;19;21;b+o;false;false;true;true;β-;β+;β-, β+;081_K40_bm-bp
082;K;41;19;22;s;true;false;false;false;;;;082_K41_stable
083;K;42;19;23;b;false;false;true;false;β-;;β-;083_K42_bm
084;K;43;19;24;b;false;false;true;false;β-;;β-;084_K43_bm
085;K;44;19;25;b;false;false;true;false;β-;;β-;085_K44_bm
086;K;45;19;26;b;false;false;true;false;β-;;β-;086_K45_bm
087;K;46;19;27;b;false;false;true;false;β-;;β-;087_K46_bm
088;Ca;40;20;20;s;true;false;false;false;;;;088_Ca40_stable
089;Ca;41;20;21;o;false;false;false;true;β+;;β+;089_Ca41_bp
090;Ca;42;20;22;s;true;false;false;false;;;;090_Ca42_stable
091;Ca;43;20;23;s;true;false;false;false;;;;091_Ca43_stable
092;Ca;44;20;24;s;true;false;false;false;;;;092_Ca44_stable
093;Ca;45;20;25;b;false;false;true;false;β-;;β-;093_Ca45_bm
094;Ca;46;20;26;s;true;false;false;false;;;;094_Ca46_stable
095;Ca;47;20;27;b;false;false;true;false;β-;;β-;095_Ca47_bm
096;Ca;49;20;29;b;false;false;true;false;β-;;β-;096_Ca49_bm
097;Sc;43;21;22;o;false;false;false;true;β+;;β+;097_Sc43_bp
098;Sc;44;21;23;o;false;false;false;true;β+;;β+;098_Sc44_bp
099;Sc;45;21;24;s;true;false;false;false;;;;099_Sc45_stable
100;Sc;46;21;25;b;false;false;true;false;β-;;β-;100_Sc46_bm
101;Sc;47;21;26;b;false;false;true;false;β-;;β-;101_Sc47_bm
102;Sc;48;21;27;b;false;false;true;false;β-;;β-;102_Sc48_bm
103;Sc;49;21;28;b;false;false;true;false;β-;;β-;103_Sc49_bm
104;Sc;50;21;29;b;false;false;true;false;β-;;β-;104_Sc50_bm
105;Ti;44;22;22;o;false;false;false;true;β+;;β+;105_Ti44_bp
106;Ti;45;22;23;o;false;false;false;true;β+;;β+;106_Ti45_bp
107;Ti;46;22;24;s;true;false;false;false;;;;107_Ti46_stable
108;Ti;47;22;25;s;true;false;false;false;;;;108_Ti47_stable
109;Ti;48;22;26;s;true;false;false;false;;;;109_Ti48_stable
110;Ti;49;22;27;s;true;false;false;false;;;;110_Ti49_stable
111;Ti;50;22;28;s;true;false;false;false;;;;111_Ti50_stable
112;Ti;51;22;29;b;false;false;true;false;β-;;β-;112_Ti51_bm
113;Ti;52;22;30;b;false;false;true;false;β-;;β-;113_Ti52_bm
114;V;47;23;24;o;false;false;false;true;β+;;β+;114_V47_bp
115;V;48;23;25;o;false;false;false;true;β+;;β+;115_V48_bp
116;V;49;23;26;o;false;false;false;true;β+;;β+;116_V49_bp
117;V;50;23;27;o+b;false;false;true;true;β+;β-;β+, β-;117_V50_bp-bm
118;V;51;23;28;s;true;false;false;false;;;;118_V51_stable
119;V;52;23;29;b;false;false;true;false;β-;;β-;119_V52_bm
120;V;53;23;30;b;false;false;true;false;β-;;β-;120_V53_bm
121;Cr;48;24;24;o;false;false;false;true;β+;;β+;121_Cr48_bp
122;Cr;49;24;25;o;false;false;false;true;β+;;β+;122_Cr49_bp
123;Cr;50;24;26;s;true;false;false;false;;;;123_Cr50_stable
124;Cr;51;24;27;o;false;false;false;true;β+;;β+;124_Cr51_bp
125;Cr;52;24;28;s;true;false;false;false;;;;125_Cr52_stable
126;Cr;53;24;29;s;true;false;false;false;;;;126_Cr53_stable
127;Cr;54;24;30;s;true;false;false;false;;;;127_Cr54_stable
128;Cr;55;24;31;b;false;false;true;false;β-;;β-;128_Cr55_bm
129;Cr;56;24;32;b;false;false;true;false;β-;;β-;129_Cr56_bm
130;Mn;51;25;26;o;false;false;false;true;β+;;β+;130_Mn51_bp
131;Mn;52;25;27;o;false;false;false;true;β+;;β+;131_Mn52_bp
132;Mn;53;25;28;o;false;false;false;true;β+;;β+;132_Mn53_bp
133;Mn;54;25;29;o+b;false;false;true;true;β+;β-;β+, β-;133_Mn54_bp-bm
134;Mn;55;25;30;s;true;false;false;false;;;;134_Mn55_stable
135;Mn;56;25;31;b;false;false;true;false;β-;;β-;135_Mn56_bm
136;Mn;57;25;32;b;false;false;true;false;β-;;β-;136_Mn57_bm
137;Fe;52;26;26;o;false;false;false;true;β+;;β+;137_Fe52_bp
138;Fe;53;26;27;o;false;false;false;true;β+;;β+;138_Fe53_bp
139;Fe;54;26;28;s;true;false;false;false;;;;139_Fe54_stable
140;Fe;55;26;29;o;false;false;false;true;β+;;β+;140_Fe55_bp
141;Fe;56;26;30;s;true;false;false;false;;;;141_Fe56_stable
142;Fe;57;26;31;s;true;false;false;false;;;;142_Fe57_stable
143;Fe;58;26;32;s;true;false;false;false;;;;143_Fe58_stable
144;Fe;59;26;33;b;false;false;true;false;β-;;β-;144_Fe59_bm
145;Fe;60;26;34;b;false;false;true;false;β-;;β-;145_Fe60_bm
146;Fe;61;26;35;b;false;false;true;false;β-;;β-;146_Fe61_bm
147;Fe;62;26;36;b;false;false;true;false;β-;;β-;147_Fe62_bm
148;Co;55;27;28;o;false;false;false;true;β+;;β+;148_Co55_bp
149;Co;56;27;29;o;false;false;false;true;β+;;β+;149_Co56_bp
150;Co;57;27;30;o;false;false;false;true;β+;;β+;150_Co57_bp
151;Co;58;27;31;o;false;false;false;true;β+;;β+;151_Co58_bp
152;Co;59;27;32;s;true;false;false;false;;;;152_Co59_stable
153;Co;60;27;33;b;false;false;true;false;β-;;β-;153_Co60_bm
154;Co;61;27;34;b;false;false;true;false;β-;;β-;154_Co61_bm
